CalendarWeek,HotspotsWeek
30,0
31,1
32,1
33,1
34,1
35,2
36,2
37,2
38,5
39,8
40,11
41,14
42,18
43,31
44,46
45,67
46,80
47,98
48,113
49,133
50,146
51,167
52,178
53,182
54,193
55,205
56,213
57,216
58,217
59,219
60,219
61,221
62,223
63,223
64,223
65,223
66,223
67,226
68,231
69,232
70,234
71,236
72,236
73,238
74,246
75,286
76,289
77,292
78,292
79,292
80,292
81,298
82,299
83,301
84,345
85,476
86,541
87,577
88,622
89,634
90,643
91,657
92,662
93,669
94,680
95,693
96,724
97,733
98,742
99,779
100,809
101,814
102,819
103,833
104,837
105,843
106,849
107,885
108,905
109,915
110,934
111,962
112,969
113,999
114,1025
115,1089
116,1133
117,1198
118,1222
119,1234
120,1257
121,1281
122,1301
123,1347
124,1377
125,1441
126,1527
127,1590
128,1765
129,1861
130,1943
131,2018
132,2075
133,2123
134,2160
135,2233
136,2339
137,2474
138,2576
139,2669
140,2748
141,2855
142,2975
143,3073
144,3187
145,3255
146,3365
147,3475
148,3579
149,3734
150,3868
151,3952
152,4050
153,4149
154,4217
155,4282
156,4324
157,4361
158,4392
159,4443
160,4488
161,4548
162,4635
163,4714
164,4755
165,4800
166,4847
167,4895
168,4945
169,5004
170,5067
171,5109
172,5154
173,5233
174,5302
175,5369
176,5423
177,5453
178,5487
179,5532
180,5566
181,5604
182,5640
183,5665
184,5691
185,5709
186,5736
187,5756
188,5773
189,5795
190,5812
191,5832
192,5850
193,5858
194,5873
195,5885
196,5898
197,5910
198,5916
199,5920
200,5923
201,5929
202,5935
203,5940
204,5942
205,5948
206,5950
207,5954
208,5954
209,5956
