"lng","lat","timestamp_added","reward_scale","payer","owner","nonce","name","mode","location_hex","location","last_poc_challenge","last_change_block","gain","elevation","block_added","block","address","status.timestamp","status.online","status.listen_addrs","status.height","geocode.short_street","geocode.short_state","geocode.short_country","geocode.short_city","geocode.long_street","geocode.long_state","geocode.long_country","geocode.long_city","geocode.city_id"
"-74.0321779049274","40.6298252917184","2023-02-13T16:22:33.000000Z","1","14sKWeeYWQWrBSnLGq79uRQqZyw3Ldi7oBdxbF6a54QboTNBXDL","13Ua9FtNHLtCBNGVhhiwN8S3ugJjWgx4QimTaV5ntuB5SMoK4Z9","1","genuine-ivory-tiger","full","882a10754bfffff","8c2a10754b135ff","NA","1766908","40","6","1746888","1766941","112ja7SyaTsE45GduinzcoPyHMKv9yn2kJeW7YGvg9dHw99fTMP2",NA,"online","NULL","NA","78th St","NY","US","Brooklyn","78th Street","New York","United States","Brooklyn","YnJvb2tseW5uZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9145421082378","40.7547397829178","2023-02-11T18:11:03.000000Z","1","14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF","14FqxBwwmCVdLugGbmU1fW2JPuKc3gATgEc8K51UPzKZsVgX6GH","1","harsh-sand-mule","full","882a100f33fffff","8c2a100f32a37ff","NA","1766669","26","0","1744162","1766941","112XdzdYcpqHJoGoVVGyAk4j1TdSpHMFiBEtRnf6ofbemAbMmWdR","2023-02-11T18:10:45.673000Z","online","/ip4/108.29.19.183/tcp/44158","1","47th St","NY","US","Queens","47th Street","New York","United States","Queens","cXVlZW5zbmV3IHlvcmt1bml0ZWQgc3RhdGVz"
"-73.9724830475014","40.7462885428136","2023-02-10T00:15:31.000000Z","1","14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF","14iAPwBNM8SDDUug9Zw2E8PbNCSXzwCVaofiNyYXc8HLZJAJL6n","2","modern-bubblegum-tuna","full","882a100d05fffff","8c2a100d04b5dff","NA","1750139","26","22","1741688","1766941","1123niqsH7jNn5PH8iZb5PNNLLuhMYrucvrVowfuH1J6o79tqD6S","2023-02-09T23:59:13.769000Z","offline","/ip4/74.64.43.11/tcp/44158","1","E 38th St","NY","US","New York","East 38th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9400214965946","40.6397585712935","2023-02-04T23:07:15.000000Z","1","14eUfY1GsjK4WH6uZYoeagnFtigBKdvPruAXLmc5UsUMEDj3yib","14qF9bANjoJQNpyeFRBu2Kh9iDBKF4XAZecYLbek5r1efgNGfeD","2","droll-stone-puppy","full","882a107663fffff","8c2a107662debff","NA","1766794","40","2","1734580","1766941","112QJc9c2AubVhywNiAMDtjdnWbnpfDQhHV1umAEgFMfx3hPXhtF",NA,"online","NULL","NA","E 39th St","NY","US","Brooklyn","East 39th Street","New York","United States","Brooklyn","YnJvb2tseW5uZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-74.0000348568014","40.7582776423766","2023-02-01T04:48:29.000000Z","1","13y2EqUUzyQhQGtDSoXktz8m5jHNSiwAKLTYnHNxZq2uH5GGGym","148ERWxQm97ETEdtsV24sxbwzYVDgHnMusG3n1JB83KTHjUQUe2","1","acrobatic-hazelnut-millipede","full","882a107251fffff","8c2a107250605ff","1731244","1766940","12","20","1729255","1766941","112saTTeJedQkTSbS1ae9762EK9LdE3CbdvqaYtLRspGDP4vcRAP",NA,"online","NULL","NA","W 38th St","NY","US","New York","West 38th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.989324360264","40.7469669754473","2023-01-25T03:48:11.000000Z","1","14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM","13Do8QcC7vVv1k4HcNxjj17D5aRUaAukp1qxe7zsV35yGrxqE68","1","zesty-hickory-swift","full","882a100d2dfffff","8c2a100d2c5edff","1731243","1766932","12","50","1719300","1766941","11j7ZboTgy9TPJmiGhQFBpW5a1Vb8tofcoy6Sqqmv5jcb9qKUjw",NA,"online","NULL","NA","W 30th St","NY","US","New York","West 30th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9625921971288","40.7626877735555","2023-01-22T19:38:29.000000Z","1","14eUfY1GsjK4WH6uZYoeagnFtigBKdvPruAXLmc5UsUMEDj3yib","13JYhtmsbNcxucanoGk1cjKkGjP93y2TLjZyafZK93TpxhQ8XbT","4","eager-laurel-duck","full","882a100d69fffff","8c2a100d68485ff","1731167","1766918","30","20","1715993","1766941","11Sr8d67rYNef6jzYjT59xwwG8W9AjkbdFiUVvbXZnJ6ZVjgxGU","2023-01-23T04:42:52.607000Z","online","/p2p/11aEavePxVoyrMbX9NFJdXseX7Gg4zmH4KcqAJNnXzBKhLkEGsH/p2p-circuit/p2p/11Sr8d67rYNef6jzYjT59xwwG8W9AjkbdFiUVvbXZnJ6ZVjgxGU","1716522","2nd Ave","NY","US","New York","2nd Avenue","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.8903203444295","40.8105376537061","2023-01-18T20:12:10.000000Z","1","13y2EqUUzyQhQGtDSoXktz8m5jHNSiwAKLTYnHNxZq2uH5GGGym","139t6mfPU923x6MZ4wqxT5EBfrKtnSLZn8NMrbs5fBfs8nU2X1G","1","polite-gingerbread-goose","full","882a100f4dfffff","8c2a100f4d827ff","1731054","1766918","58","19","1710370","1766941","112i1UhNgmMpPNniPP8LN7xxV4Lqcuvp1exjJ34bQ2hAJqsaTAXF",NA,"online","NULL","NA","Tiffany St","NY","US","The Bronx","Tiffany Street","New York","United States","The Bronx","dGhlIGJyb254bmV3IHlvcmt1bml0ZWQgc3RhdGVz"
"-73.9925908109645","40.7001139572333","2023-01-16T18:55:36.000000Z","1","14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF","134MBuJrgppu93sYmHci18ci8K8ZdNTbjcJBUqJsHEeX29P4RTV","1","noisy-pear-salmon","full","882a1072d7fffff","8c2a1072d6253ff","1730723","1764636","26","30","1707010","1766941","11KLgkkdqCSfaey1zBffuMqbKLYApEEnymp2GWZ9EGBowiKAWzE","2023-01-16T18:51:36.617000Z","online","/ip4/173.77.69.62/tcp/44158","1","Middagh St","NY","US","Brooklyn","Middagh Street","New York","United States","Brooklyn","YnJvb2tseW5uZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9246087308156","40.7587360606436","2023-01-15T00:51:35.000000Z","1","14sKWeeYWQWrBSnLGq79uRQqZyw3Ldi7oBdxbF6a54QboTNBXDL","13edbbUWzMM6tcMzHWaHDwoP1EjeVWxRdTcYFvYrVuVEGNq8mGz","1","fun-crepe-halibut","full","882a100f37fffff","8c2a100f379d1ff","1731284","1766925","40","2","1704033","1766941","11japF4xkAnSatSFTriVD54r4VFhi5xFq64RHqagC2B8ox9uBTr",NA,"online","NULL","NA","34th St","NY","US","Queens","34th Street","New York","United States","Queens","cXVlZW5zbmV3IHlvcmt1bml0ZWQgc3RhdGVz"
